Nome	CPF	Email	Telefone	CEP	Logradouro	Complemento	Bairro	UF	Matrícula	CargoId
Pedro Henrique	05194273193	pedro.valladares@empresa.com	(61) 1234-5678	12345678	Rua das Flores, 10	Apt 101	Centro	SP	2023001	1
Ana Silva	59572510380	ana.silva@empresa.com	(11) 98765-4321	01000001	Rua das Flores, 10	Apt 101	Centro	SP	2023001	1
Bruno Souza	11475922418	bruno.souza@empresa.com	(21) 97654-3210	20000002	Av. Atlântica, 1200	Bloco B, Sala 5	Copacabana	RJ	2023002	2
Carla Oliveira	80804092931	carla.oliveira@empresa.com	(31) 96543-2109	30000003	Praça da Liberdade, 50	Sala 203	Savassi	MG	2023003	3
Daniel Pereira	96252034274	daniel.pereira@empresa.com	(41) 95432-1098	80000004	Alameda Santos, 300	Conjunto 7	Batel	PR	2023004	4
Eduarda Costa	07147778707	eduarda.costa@empresa.com	(51) 94321-0987	90000005	Rua da Praia, 250	Sala 12	Moinhos de Vento	RS	2023005	5
Fernando Rodrigues	01790592623	fernando.rodrigues@empresa.com	(61) 93210-9876	70000006	Eixo Monumental, Setor Norte	Edifício Alfa	Asa Norte	DF	2023006	6
Gabriela Martins	93496402873	gabriela.martins@empresa.com	(71) 92109-8765	40000007	Av. Oceânica, 400	Apt 505	Ondina	BA	2023007	7
Henrique Almeida	41869350685	henrique.almeida@empresa.com	(81) 91098-7654	50000008	Rua do Sol, 700	Sala 301	Boa Viagem	PE	2023008	8
Isabella Lima	37764394599	isabella.lima@empresa.com	(91) 90987-6543	66000009	Av. Presidente Vargas, 1500	Loja 1	Campina	PA	2023009	9
João Gonçalves	90934291080	joao.goncalves@empresa.com	(11) 98765-1234	01000010	R. Augusta, 800	10º Andar	Consolação	SP	2023010	10
Juliana Ferreira	96681535020	juliana.ferreira@empresa.com	(21) 97654-5678	20000011	R. Sete de Setembro, 20	Cobertura	Centro	RJ	2023011	1
Kevin Nunes	46129696507	kevin.nunes@empresa.com	(31) 96543-9012	30000012	Av. Afonso Pena, 100	Apt 3	Funcionários	MG	2023012	2
